Tier,Gene,Accession
1,ADRA1A,NM_000680.3
1,ADRA1B,NM_000679.3
1,ADRA1D,NM_000678.3
1,ADRA2A,NM_000681.3
1,ADRA2B,NM_000682.6
1,CHRM1,NM_000738.2
1,CHRM2,NM_000739.2
1,CHRM3,NM_000740.2
1,CHRM5,NM_012125.3
1,CNR1,NM_016083.4
1,CNR2,NM_001841.2
1,DRD2,NM_000795.3
1,DRD3,NM_000796.5
1,GABBR2,NM_005458.7
1,HTR1A,NM_000524.3
1,HTR1D,NM_000864.4
1,HTR1F,NM_000866.4
1,HTR2A,NM_000621.4
1,HTR2B,NM_000867.4
1,HTR4,NM_000870.6
1,HTR5A,NM_024012.3
1,HTR7,NM_000872.4
1,OPRK1,NM_000912.4
1,OPRM1,NM_000914.4
2,ACKR3,NM_020311.2
2,ADORA1,NM_000674.2
2,ADORA2A,NM_000675.5
2,ADORA2B,NM_000676.2
2,AVPR1B,NM_000707.3
2,CRHR1,NM_004382.4
2,CRHR2,NM_001883.4
2,FSHR,NM_000145.3
2,GRM3,NM_000840.2
2,GRM5,NM_000842.4
2,GRM8,NM_000845.2
2,HCRTR2,NM_001526.3
2,HRH1,NM_000861.3
2,HRH2,NM_022304.2
2,NPY1R,NM_000909.5
2,NPY2R,NM_000910.3
3,CCKAR,NM_000730.2
3,CCKBR,NM_176875.3
3,CCR10,NM_016602.2
3,CCR2,NM_001123396.1
3,CCR3,NM_001837.3
3,CCR4,NM_005508.4
3,CCR5,NM_000579.3
3,CCR7,NM_001838.3
3,CXCR2,NM_001557.3
3,CXCR3,NM_001504.1
3,CXCR4,NM_003467.2
3,XCR1,NM_005283.2
0,ADCYAP1R1,NM_001118.4
0,ADGRA2,NM_032777.9
0,ADGRA3,NM_145290.3
0,ADGRB2,NM_001294335.1
0,ADGRE5,NM_078481.3
0,ADGRF5,NM_015234.4
0,ADGRG1,NM_005682.6
0,ADGRG2,NM_001079858.2
0,ADGRG6,NM_020455.5
0,ADGRL1,NM_001008701.2
0,ADGRL2,NM_012302.3
0,ADGRL3,NM_015236.5
0,ADGRL4,NM_022159.3
0,ADGRV1,NM_032119.3
0,AGTR1,NM_000685.4
0,BDKRB2,NM_000623.3
0,CALCR,NM_001742.3
0,CALCRL,NM_005795.5
0,CASR,NM_000388.3
0,CELSR1,NM_014246.1
0,CELSR2,NM_001408.2
0,CELSR3,NM_001407.2
0,CMKLR1,NM_004072.2
0,DRD1,NM_000794.3
0,EDNRA,NM_001957.3
0,EDNRB,NM_000115.3
0,F2R,NM_001992.4
0,F2RL1,NM_005242.5
0,FFAR2,NM_005306.2
0,FFAR4,NM_181745.3
0,FZD3,NM_017412.3
0,FZD4,NM_012193.3
0,FZD5,NM_003468.3
0,FZD6,NM_003506.3
0,FZD7,NM_003507.1
0,GHSR,NM_198407.2
0,GIPR,NM_000164.3
0,GLP1R,NM_002062.4
0,GLP2R,NM_004246.2
0,GNRHR,NM_000406.2
0,GPBAR1,NM_170699.2
0,GPR1,NM_005279.3
0,GPR119,NM_178471.2
0,GPR12,NM_005288.3
0,GPR139,NM_001002911.3
0,GPR141,XM_011515388.2
0,GPR151,NM_194251.2
0,GPR153,NM_207370.2
0,GPR158,NM_020752.2
0,GPR161,NM_153832.2
0,GPR162,NM_019858.1
0,GPR173,NM_018969.5
0,GPR176,NM_007223.2
0,GPR179,NM_001004334.3
0,GPR182,NM_007264.3
0,GPR19,NM_006143.2
0,GPR21,NM_005294.2
0,GPR22,NM_005295.2
0,GPR3,NM_005281.3
0,GPR37,NM_005302.3
0,GPR37L1,NM_004767.3
0,GPR39,NM_001508.2
0,GPR4,NM_005282.2
0,GPR45,NM_007227.3
0,GPR50,NM_004224.3
0,GPR52,NM_005684.4
0,GPR55,NM_005683.3
0,GPR6,NM_005284.4
0,GPR61,NM_031936.4
0,GPR63,NM_030784.3
0,GPR68,NM_003485.3
0,GPR82,NM_080817.4
0,GPR85,NM_018970.6
0,GPRC5A,NM_003979.3
0,GPRC5B,NM_016235.2
0,GPRC5C,NM_018653.3
0,GPRC5D,XM_005253421.3
0,GRPR,NM_005314.2
0,HCAR1,NM_032554.3
0,HCAR2,NM_177551.3
0,LGR4,NM_018490.2
0,LGR5,NM_003667.3
0,LGR6,NM_021636.2
0,LHCGR,NM_000233.3
0,LPAR1,NM_001401.3
0,LPAR2,NM_004720.5
0,LPAR6,NM_005767.5
0,OPN5,NM_181744.3
0,OPRD1,NM_000911.3
0,OR51E1,NM_152430.3
0,P2RY1,NM_002563.4
0,P2RY2,NM_002564.3
0,PTAFR,NM_000952.4
0,PTGDR2,NM_004778.2
0,PTGER2,NM_000956.3
0,PTGER4,NM_000958.2
0,PTGIR,NM_000960.3
0,PTH1R,NM_000316.2
0,S1PR1,NM_001400.4
0,S1PR2,NM_004230.3
0,SCTR,NM_002980.2
0,SMO,NM_005631.4
0,SSTR1,NM_001049.2
0,SSTR2,NM_001050.2
0,SSTR3,NM_001051.4
0,TRHR,XM_011517263.2
0,TSHR,NM_000369.2
0,VIPR1,NM_004624.3
